ID_REF,GSM1302340,GSM1302341,GSM1302342,GSM1302343,GSM1302344,GSM1302345,GSM1302346,GSM1302347,GSM1302348,GSM1302349,GSM1302350,GSM1302351,GSM1302352,GSM1302353,GSM1302354,GSM1302355,GSM1302356,GSM1302357,GSM1302358,GSM1302359,GSM1302360,GSM1302361,GSM1302362,GSM1302363,GSM1302364,GSM1302365,GSM1302366,GSM1302367,GSM1302368,GSM1302369,GSM1302370,GSM1302371,GSM1302372,GSM1302373,GSM1302374,GSM1302375,GSM1302376,GSM1302377,GSM1302378,GSM1302379,GSM1302380,GSM1302381,GSM1302382,GSM1302383,GSM1302384,GSM1302385,GSM1302386,GSM1302387,GSM1302388,GSM1302389,GSM1302390,GSM1302391,GSM1302392,GSM1302393,GSM1302394,GSM1302395,GSM1302396,GSM1302397,GSM1302398,GSM1302399,GSM1302400,GSM1302401,GSM1302402,GSM1302403,GSM1302404,GSM1302405,GSM1302406,GSM1302407,GSM1302408,GSM1302409,GSM1302410,GSM1302411
hsa-miR-520e,608.028000077141,652.492999915855,441.021000096074,656.478999775254,572.805999870245,594.610999839659,521.416999902509,527.825999850096,524.450999861064,400.90999993853,705.846999830312,584.839999901989,637.486000139763,549.236000128406,566.603999849694,538.818999916086,678.332999769033,482.353999989787,500.534999974427,480.861000117976,625.24999992157,729.082999779164,585.235999832678,534.299000083801,775.256999921758,535.028000056524,411.58299992977,426.360999993422,480.861000117976,483.56900001804,441.021000096074,465.013999896452,449.805999922339,669.909999780987,523.479000139154,476.95800011219,774.22900005675,505.805999826612,491.811999906956,439.353999857923,419.28499994336,516.014000078344,340.742999921601,632.068999997178,450.263999958502,507.950999835271,469.965000056198,530.15999988913,595.125000183014,512.340000100418,613.443999954327,566.603999849694,592.832999936697,665.339999812848,550.042000135251,706.757000037979,467.285000083512,565.839999925276,466.749999926818,620.660000186246,492.292000001267,456.541999954757,464.464999855596,535.950999902341,503.825999924826,523.785000152235,512.700999849395,509.3470000518,485.708000109237,509.70099982546,529.73600001529,668.492999879569
hsa-miR-520h,593.610999973811,600.693999821561,663.624999943085,517.430999920089,572.11099993427,506.555999922244,523.986000096186,596.306000027938,627.43099993959,671.236000079089,620.388999904256,520.250000095441,560.666999899082,572.652999941215,664.819000206089,619.736000174988,489.11100009732,459.166999979151,525.278000096006,535.875000067983,572.11099993427,583.61099981804,551.513999850372,584.25000008795,535.5000000927,658.125000039651,564.72200016484,538.818999916086,538.181000152585,695.528000215122,608.95799988791,525.278000096006,544.360999847498,510.222000041824,589.139000042886,665.846999975101,763.318999946071,460.680999854987,554.596999940434,327.596999954562,499.916999859437,540.582999938022,525.278000096006,492.806000006443,535.5000000927,515.568999969129,599.250000145739,582.360999986439,568.861000062611,534.194000122554,543.471999835305,598.485999877053,509.042000083553,616.777999950568,540.014000085812,632.542000037832,498.76399991556,515.138999955305,499.916999859437,508.542000144866,533.541999964604,536.458000114528,574.903000031741,792.249999790098,759.944000226936,638.24999981989,642.444000011191,402.431000097378,414.846999998784,490.666999854686,597.888999949634,477.805999940978
hsa-miR-521,845.18099996345,832.16699971397,597.278000150373,406.444000076746,675.568999937937,955.263999918153,627.43099993959,620.388999904256,774.943999976496,623.902999855091,621.208000068919,627.43099993959,552.027999959653,832.16699971397,635.693999828978,548.569000149964,618.832999987738,468.957999948223,587.624999921089,465.596999911087,882.916999872451,559.943999911927,668.249999887407,548.569000149964,390.333000064973,553.888999903847,595.597000036485,491.931000011037,622.027999939566,745.639000180412,501.986000046392,618.277999870193,731.458000205159,394.472000062001,758.027999815089,904.875000039572,817.125000092285,486.042000145537,639.264000054845,506.555999922244,616.777999950568,660.24999992353,557.277999933589,456.250000109188,706.81899986882,570.471999828998,566.667000020503,687.222000044212,553.888999903847,741.903000001554,863.402999758039,796.431000066151,625.152999967808,698.207999989892,625.152999967808,717.305999896808,812.013999986955,912.597000023249,580.62499989133,789.972000184442,544.917000097289,408.207999958572,445.930999864486,565.250000097351,600.693999821561,586.972000134471,508.542000144866,600.693999821561,684.86100005464,805.346999878498,741.903000001554,798.417000094139
hsa-miR-522-3p,566.667000020503,618.832999987738,618.277999870193,482.680999936711,531.500000172745,607.207999897856,515.568999969129,578.291999992257,528.124999979167,553.180999942991,566.097000011276,606.36100006982,528.124999979167,474.680999962254,702.6669998508,479.652999948664,402.431000097378,418.056000042461,449.485999986742,503.278000048466,617.542000102152,584.25000008795,592.013999994392,413.319000073144,487.361000022266,512.638999863091,612.569000106585,453.791999868609,444.193999868515,574.000000129033,490.666999854686,505.207999913686,492.806000006443,473.513999973823,498.111000071229,585.139000016877,604.3889999247,444.193999868515,527.431000170044,476.680999989639,649.02799987508,458.042000134485,511.568999867649,494.832999853837,535.875000067983,413.319000073144,546.514000176366,482.083000089753,572.652999941215,483.486000043974,517.430999920089,461.583000129046,505.861000073587,551.513999850372,459.166999979151,459.166999979151,548.569000149964,539.374999975206,456.818999922278,419.166999929201,534.194000122554,472.153000049715,546.514000176366,500.611000103378,524.680999950304,373.818999947458,433.819000005824,410.06899997257,390.333000064973,433.819000005824,520.861000129666,478.4170000872
hsa-miR-523-3p,388.347000030795,350.721999948999,410.06899997257,411.694000043101,498.76399991556,380.193999955462,373.818999947458,390.333000064973,488.124999990072,614.361000168109,362.610999886449,480.542000093261,419.166999929201,443.306000058391,521.985999970853,390.333000064973,414.846999998784,613.805999957023,392.360999977129,402.431000097378,402.431000097378,442.360999933682,863.402999758039,400.847000083377,350.721999948999,427.361000092655,607.207999897856,445.097000097711,486.042000145537,535.5000000927,377.20799988253,418.056000042461,419.166999929201,370.124999954448,283.568999932159,410.06899997257,436.500000112116,487.361000022266,310.458000028913,515.568999969129,559.943999911927,550.444000026434,399.193999863382,439.555999982556,513.277999930472,632.542000037832,9169.19402046342,377.20799988253,427.361000092655,385.610999873009,469.777999873594,413.319000073144,385.610999873009,366.70800010106,404.736000085205,402.431000097378,590.472000055018,531.957999989636,492.806000006443,2134.43100025073,479.027999941661,458.042000134485,380.193999955462,471.291999953048,491.306000113883,343.097000007394,427.361000092655,484.9029999299,436.500000112116,530.681000161187,530.681000161187,472.153000049715
hsa-miR-524-3p,571.528000117019,543.806000007757,607.207999897856,568.069000067517,617.542000102152,613.138999998898,414.846999998784,449.485999986742,443.306000058391,362.610999886449,462.83299997884,506.555999922244,383.01400011944,410.06899997257,419.166999929201,466.486000036256,514.528000080801,410.06899997257,400.847000083377,377.20799988253,451.16699987711,526.417000112849,515.568999969129,471.291999953048,467.763999933497,559.333000020228,343.097000007394,497.542000120557,427.361000092655,411.694000043101,465.596999911087,507.986000030936,458.722000145601,488.124999990072,411.694000043101,424.416999924494,392.360999977129,628.319000098103,383.01400011944,383.01400011944,370.124999954448,538.181000152585,459.166999979151,548.569000149964,438.611000050261,448.653000053316,402.431000097378,469.777999873594,527.431000170044,377.20799988253,434.653000004079,397.153000029907,494.832999853837,472.750000016463,399.193999863382,433.167000017105,408.207999958572,413.319000073144,390.333000064973,468.957999948223,394.472000062001,499.347000169562,433.819000005824,89.6939999711677,414.846999998784,112.444000008668,503.278000048466,503.90299991914,566.097000011276,504.444000126416,498.76399991556,514.528000080801
hsa-miR-524-5p,408.207999958572,530.681000161187,520.861000129666,499.916999859437,413.319000073144,489.11100009732,603.11099992102,587.624999921089,630.65300008592,800.638999743214,561.375000085772,619.736000174988,509.042000083553,491.931000011037,628.319000098103,497.542000120557,460.680999854987,600.693999821561,472.153000049715,513.277999930472,542.30600000063,563.999999844098,1042.7500022484,488.124999990072,475.40299996115,411.694000043101,772.707999831398,566.667000020503,559.333000020228,514.528000080801,527.431000170044,546.514000176366,593.610999973811,471.291999953048,470.59699988366,630.65300008592,469.777999873594,533.541999964604,462.83299997884,441.221999857333,608.180999981083,469.777999873594,457.458000013721,505.861000073587,474.180999908342,474.180999908342,447.861000092184,553.888999903847,512.638999863091,399.193999863382,467.763999933497,479.027999941661,410.06899997257,547.361000104647,454.832999922488,516.652999883628,635.693999828978,639.264000054845,385.610999873009,240.666999940411,370.124999954448,611.624999816414,645.903000069429,486.707999963928,535.875000067983,484.236000102006,539.374999975206,472.153000049715,516.652999883628,482.680999936711,509.749999994136,416.527999997833
hsa-miR-525-3p,622.027999939566,512.096999930346,586.305999798122,688.444000011893,758.027999815089,603.681000055447,486.042000145537,477.306000081988,495.542000010231,438.611000050261,538.818999916086,404.736000085205,534.194000122554,448.653000053316,523.986000096186,419.166999929201,771.000000045407,498.111000071229,528.124999979167,580.124999931564,422.902999881481,451.16699987711,660.24999992353,562.77800003185,537.749999842308,445.097000097711,406.444000076746,521.985999970853,489.11100009732,568.069000067517,614.361000168109,489.778000098783,525.791999968072,741.903000001554,457.458000013721,472.153000049715,493.388999931447,577.430999979188,531.500000172745,443.306000058391,433.819000005824,442.360999933682,598.485999877053,603.681000055447,453.153000113299,418.056000042461,462.83299997884,470.59699988366,388.347000030795,626.167000032917,578.749999940789,495.542000010231,553.888999903847,617.542000102152,388.347000030795,529.972000152093,420.194000140085,426.610999920847,532.972000032982,422.902999881481,490.666999854686,366.70800010106,461.583000129046,566.097000011276,459.166999979151,519.318999946475,385.610999873009,437.791999872358,545.403000142764,603.11099992102,421.542000038038,615.332999829622
