ID_REF,GSM1195876,GSM1195877,GSM1195878,GSM1195879,GSM1195880,GSM1195881,GSM1195882,GSM1195883,GSM1195884,GSM1195885,GSM1195886,GSM1195887,GSM1195888,GSM1195889,GSM1195890,GSM1195891,GSM1195892,GSM1195893,GSM1195894,GSM1195895,GSM1195896,GSM1195897,GSM1195898,GSM1195899,GSM1195900,GSM1195901,GSM1195902,GSM1195903,GSM1195904,GSM1195905,GSM1195906,GSM1195907,GSM1195908,GSM1195909,GSM1195910,GSM1195911,GSM1195912,GSM1195913,GSM1195914,GSM1195915,GSM1195916,GSM1195917,GSM1195918,GSM1195919,GSM1195920,GSM1195921,GSM1195922,GSM1195923,GSM1195924,GSM1195925,GSM1195926,GSM1195927,GSM1195928,GSM1195929,GSM1195930,GSM1195931,GSM1195932,GSM1195933,GSM1195934,GSM1195935,GSM1195936,GSM1195937,GSM1195938,GSM1195939,GSM1195940,GSM1195941,GSM1195942,GSM1195943,GSM1195944,GSM1195945,GSM1195946,GSM1195947,GSM1195948,GSM1195949,GSM1195950,GSM1195951,GSM1195952,GSM1195953,GSM1195954,GSM1195955
hsa-let-7a-2-3p,723.581000237761,642.968999934519,595.674999844,720.625000230202,612.013000063604,658.024999847046,1042.05599662724,813.993999937217,929.300000241414,829.625000061634,904.969000099744,895.02499979344,762.043999834283,791.774999832823,621.138000214567,554.237000043862,632.786999952398,777.399999756527,758.075000010329,918.049999723046,685.006000219633,885.219000185792,776.77499996014,743.687999963247,686.930999981393,754.555999837712,753.562000245586,744.706000010709,696.249999890259,769.293999964297,717.17500002098,727.780999818151,722.036999940848,640.224999898927,698.924999774673,740.581000179985,580.862000164696,768.237000152263,722.6999999638,715.299999851132,696.768999956595,502.769000065268,578.743999837766,555.111999875337,625.550000042747,637.106000006095,793.850000025231,788.556000169612,755.012999944922,751.906000247284,814.818999817442,858.124999979501,761.056000130295,725.474999803525,589.480999937243,778.049999893632,686.205999875679,619.118999884095,690.09399983607,1165.86900207647,579.699999844437,793.850000025231,544.888000095442,595.974999809422,659.555999842445,594.105999809539,619.794000188531,588.069000101659,560.344000073098,567.412000091356,666.661999981378,577.025000103191,632.22499979486,592.838000038701,635.638000048299,652.799999961931,663.40000004568,577.856000013478,763.755999769165,703.825000205357
hsa-let-7a-3p,566.480999975838,491.225000108015,595.806000024788,570.874999850285,612.225000082908,503.712000104089,517.069000057249,595.494000074009,594.680999893156,600.11199981766,616.337999898096,590.462999968405,565.962999883896,569.005999929262,538.768999870202,634.137999968497,584.956000002598,572.412000118502,564.887999848194,654.824999977158,500.768999973853,1495.67500401555,588.069000101659,629.594000055633,622.05599990236,632.419000198332,674.938000168036,615.005999901308,542.950000060022,594.105999809539,619.275000122826,589.080999846834,657.006000200675,666.169000040172,638.325000075523,550.531000015421,580.994000167678,587.431000173747,577.993999859834,667.331000130551,523.286999872375,451.18099986039,514.424999941326,527.475000072501,501.769000163251,507.644000055706,524.949999824423,540.361999987443,510.719000134861,505.399999979888,578.143999803844,572.900000180748,529.837999878084,497.037999997026,479.237000000136,616.337999898096,463.249999991245,530.844000028808,569.194000019187,607.443999919693,501.086999886543,2763.01199506768,588.637999837115,574.374999929771,610.188000072567,522.793999823651,571.187999958818,582.506000063305,592.375000150855,585.130999859154,694.25599993202,516.531000035363,584.161999985873,507.337000147203,527.831000097484,594.830999957144,575.161999908132,654.693999973774,543.119000037283,603.219000148006
hsa-let-7a-5p,566.643999863283,616.475000099106,595.974999809422,668.056000046652,612.400000164519,844.443999729218,767.055999827505,811.763000253809,778.78100017097,600.305999830226,616.475000099106,740.1059999829,566.143999907167,734.674999864865,617.169000058283,714.224999900325,608.087999806934,867.800000042479,845.411999835252,1104.80000048192,715.299999851132,781.388000225192,879.043999907021,761.574999857832,787.212999863871,793.244000224797,890.593999974519,775.518999948027,858.805999812673,913.019000064357,802.231000018227,903.56900012094,800.768999842717,791.111999771773,780.555999991087,866.574999772004,752.388000019788,882.756000220343,670.819000207602,839.844000171794,572.143999990705,513.362000107349,576.205999979485,553.506000127597,596.105999855592,876.73700027287,663.013000012264,1010.02499967061,630.425000038555,681.250000211713,762.581000009164,724.344000151746,813.993999937217,838.00599987155,606.218999883302,712.855999887726,643.506000062445,734.213000078827,639.194000096008,978.41199994973,577.574999947808,755.969000063845,621.47499995691,919.419000092833,635.125000089054,583.500000118363,652.380999881211,714.881000098518,676.075000129681,658.024999847046,676.075000129681,564.680999962909,480.993999846015,704.449999872686,694.611999775287,669.881000129389,800.768999842717,733.755999941631,698.318999922616,687.824999789309
hsa-let-7b-3p,954.188000212272,1181.01200133045,926.850000040605,1131.28699798002,893.875000015833,1220.60599839048,1070.21899877714,1162.86299699874,1417.17500465291,960.031000077384,948.200000105794,1068.10000061514,968.51899995449,1152.81899758005,1223.40000351885,851.269000198928,1040.19400285192,1502.41900250319,1427.63699811516,2295.2620020257,1377.59999760375,2369.59999934057,1255.66900165267,2369.59999934057,2693.86300533067,2005.56900495,3308.58098988043,2739.22500270746,3722.76899082581,4147.8439993771,2792.78099675326,1984.68799577317,3169.21198972965,1386.18800086194,1443.9499987911,1567.33800164366,1427.63699811516,1255.66900165267,1303.13100376773,1244.07500283587,1391.13100325825,599.83099993637,1054.43100321069,1214.51200061329,1199.32500314992,2493.74399162193,1306.23800151356,1625.91199940755,1237.44399761263,1162.86299699874,1021.24400003253,1193.70599912697,1255.66900165267,1777.10599777737,1640.11299853568,1465.68100497072,1460.18799645963,2662.98799606962,1314.55600305979,2517.74399239679,2189.8869967533,3722.76899082581,606.218999883302,2215.55600422251,1618.69400320004,1367.65600350595,1661.48100030997,1959.81899405008,2158.15600459784,2328.59999415832,2662.98799606962,1777.10599777737,1748.26199698903,1878.40000231407,1483.15599516124,1577.17499774743,1670.51199899744,1244.07500283587,1502.41900250319,1139.65000129856
hsa-let-7b-5p,566.837999818327,567.562000160851,596.105999855592,570.999999856391,612.537000078416,588.375000126731,654.344000108482,595.674999844,594.830999957144,600.455999880295,616.687999884885,590.619000011573,566.293999986621,598.880999953615,584.781000195892,541.880999812679,587.431000173747,717.500000217309,644.706000061202,657.380999907992,714.569000043004,751.906000247284,700.550000074135,621.650000106978,609.512999799648,650.055999869992,695.462999822088,663.831000161143,715.299999851132,650.599999930656,664.525000128522,608.575000189425,703.162000090952,649.694000196657,652.380999881211,652.593999993194,581.161999830716,707.04400007567,708.200000243699,640.568999951772,501.769000163251,528.306000174251,528.050000095627,533.856000050412,533.856000050412,570.213000116324,552.356000140058,594.830999957144,523.530999927628,551.555999918263,578.286999917385,573.081000187745,591.844000044684,558.530999910554,610.455999907206,675.849999943366,537.718999958704,657.194000129857,659.744000051536,641.431000053211,859.925000193732,813.181000149074,1592.64999957275,614.831000068281,620.969000073244,626.463000109987,665.262999903606,629.894000087992,685.006000219633,584.619000008312,551.956000090329,627.230999939031,608.700000172796,664.043999791319,644.706000061202,629.043999915611,646.800000185473,695.462999822088,655.938000045923,643.344000192523
hsa-let-7d-3p,566.993999902823,632.22499979486,596.224999889827,571.187999958818,612.693999952802,597.606000116345,661.987000156168,595.806000024788,594.999999919451,600.60599994352,616.843999852195,590.786999845774,673.831000087188,681.513000108201,594.680999893156,560.544000057678,661.581000000242,735.130999891116,722.036999940848,602.369000167206,719.611999777245,732.763000065556,737.505999862582,746.661999818017,572.900000180748,762.043999834283,661.368999905807,712.025000244754,620.13100018234,717.17500002098,567.124999862122,728.162000118589,636.312000028641,732.763000065556,645.362000093965,668.987000029541,581.305999870003,587.618999859097,914.330999723546,619.650000133185,543.119000037283,546.406000188836,500.768999973853,480.381000146356,572.543999864072,533.100000050819,563.555999816889,634.524999781182,548.524999890656,581.843999875188,578.425000053335,573.206000087777,572.719000175277,572.543999864072,510.030999850898,650.950000072435,640.381000116772,731.13800009657,666.661999981378,600.60599994352,958.681000163498,664.525000128522,655.300000225847,871.599999861925,812.455999886041,1258.73100331468,622.512999908529,837.311999918355,658.236999773458,807.544000175511,675.412000180484,966.981000299411,648.437999798581,629.244000102043,591.343999935839,600.305999830226,628.924999929549,558.530999910554,657.643999883708,553.506000127597
hsa-let-7d-5p,567.124999862122,601.580999903526,596.381000184229,571.349999842723,612.85600000578,636.312000028641,579.999999993996,595.974999809422,737.850000226505,600.762999933196,617.018999976485,590.90000012827,719.219000203857,555.844000005018,679.368999771395,639.487000031785,621.831000174291,537.718999958704,565.031000058696,548.919000130986,501.086999886543,552.15599986972,588.180999836478,555.312000030174,533.611999871054,571.975000179512,534.030999920064,532.943999970282,530.844000028808,498.199999877936,559.56200007332,477.050000008117,513.362000107349,624.469000058683,595.494000074009,650.744000222792,681.856000047706,587.750000141358,650.744000222792,541.880999812679,539.800000157338,646.324999889511,522.581000043509,615.944000154397,483.163000019983,522.387999902294,514.424999941326,545.287000058525,689.205999990829,509.706000073905,578.62499988293,573.388000156887,600.94400001807,502.312000170771,526.938000064268,559.56200007332,540.588000005747,629.043999915611,614.831000068281,575.850000127431,547.319000047142,518.16199982426,561.149999850399,546.406000188836,526.324999982427,559.299999961923,516.531000035363,523.780999971371,600.455999880295,478.674999853884,563.356000176312,556.868999947292,570.755999820823,561.149999850399,596.105999855592,600.455999880295,614.675000046807,607.930999895434,611.012999944369,486.80599983255
hsa-let-7e-3p,1157.78099928086,1230.66899807272,1062.6620016895,1103.00000337057,1223.40000351885,1269.70599579828,1341.45600057866,1058.46299740249,1269.70599579828,1323.38700238238,1234.47499600788,1350.21899985704,1126.17499642469,1561.11299549644,1240.63099641706,1554.91899673479,1495.67500401555,1021.24400003253,1237.44399761263,961.230999761148,1056.4749978156,1427.63699811516,1134.49999711216,1103.00000337057,1024.93099778618,973.031000243404,860.794000194297,945.63100000695,968.51899995449,947.099999903642,861.749999780623,955.775000271353,844.443999729218,1004.86199996138,1083.95599955817,1104.80000048192,1032.28100085895,1610.83100380159,1438.64400154289,1237.44399761263,1068.10000061514,678.5749999248,1103.00000337057,947.099999903642,992.830999703543,1103.00000337057,1097.8630004744,1177.5560039857,1244.07500283587,1255.66900165267,1004.86199996138,1043.96300313533,1019.28100021255,1107.46899966021,1337.23099999107,1193.70599912697,1062.6620016895,810.387999974593,1174.74999804483,842.399999919214,746.661999818017,884.231000010215,641.087999945705,920.499999776746,997.519000170411,746.661999818017,757.080999998641,690.09399983607,745.293999977378,711.737000045751,780.012999747734,827.044000122808,962.531000171161,868.675000054471,1205.47500311298,1124.13099711191,1068.10000061514,608.28700009682,1205.47500311298,758.075000010329
hsa-let-7e-5p,10803.8749795167,7993.41302033825,6687.86198495399,9294.59997621156,7108.11900495982,10229.931965687,10803.8749795167,11184.2809775882,16213.4379884195,7993.41302033825,8393.06797600276,10229.931965687,7993.41302033825,8198.18198361447,8828.85601667425,9523.124972109,9294.59997621156,8828.85601667425,11520.3310146146,9294.59997621156,6569.71198908419,8198.18198361447,10229.931965687,6959.86901781755,7393.11198005026,9768.54400404424,14243.9249603809,13116.9430182375,14243.9249603809,14243.9249603809,11184.2809775882,7108.11900495982,9523.124972109,9294.59997621156,10229.931965687,10803.8749795167,9294.59997621156,10803.8749795167,10542.0619887763,8198.18198361447,12625.7999753451,4973.64399414211,6569.71198908419,12170.7940049204,7993.41302033825,12625.7999753451,10004.5190265331,25311.8499127208,10542.0619887763,12625.7999753451,6687.86198495399,7527.42498280491,8586.64397667295,9523.124972109,9523.124972109,10004.5190265331,6044.27501751874,16213.4379884195,9523.124972109,12625.7999753451,25311.8499127208,13728.3690407933,1427.63699811516,9768.54400404424,10803.8749795167,11520.3310146146,12625.7999753451,14243.9249603809,13728.3690407933,14915.01905118,16213.4379884195,11184.2809775882,7247.78799299016,17706.9630023067,14915.01905118,11771.1689859397,14915.01905118,21582.4569449858,7527.42498280491,7684.53799300762
hsa-let-7f-1-3p,900.893999999771,887.400000041297,596.512999935628,1019.28100021255,613.000000131387,890.593999974519,1661.48100030997,857.125000079691,1319.49400446171,938.318999698914,1097.8630004744,1323.38700238238,978.41199994973,935.518999953438,911.800000014282,1038.50600281946,1295.66200414677,1471.45600244194,1147.24999887694,1250.92500081109,1159.90600222586,1134.49999711216,1234.47499600788,1395.78699541255,869.880999945886,1240.63099641706,939.644000196836,1217.34399952224,965.411999824871,1266.29399650849,808.388000128197,1273.33100130844,954.188000212272,1124.13099711191,811.763000253809,987.593999743736,729.3750002049,887.400000041297,1391.13100325825,1034.32500188429,978.41199994973,605.544000201775,788.556000169612,913.019000064357,873.619000007708,744.219000059132,1008.42499967735,992.830999703543,1072.54400099494,877.894000004372,1058.46299740249,1131.28699798002,910.874999774587,1043.96300313533,786.574999955427,845.411999835252,882.756000220343,1483.15599516124,858.124999979501,825.044000104692,954.188000212272,861.749999780623,718.549999861119,903.56900012094,621.138000214567,1184.33800221939,677.661999929273,851.269000198928,638.693999810827,938.318999698914,760.175000207521,1030.49400032594,806.87499989119,1190.65000019867,678.356000179349,810.387999974593,1003.08100022253,623.199999924705,1319.49400446171,769.293999964297
